SAMPLE	PLATE	COLUMN	ROW	GROUP	CODE	ANCESTRY	SEX	FAMILY_ID	RELATIONSHIP	FLOWCELLS	OUTPUT	READ_N50	NOTES	HAS_SR	base_sample_id	T2T_cram	T2T_crai	T2T_mean_cov	T2T_median_cov	T2T_xy_ratio	T2T_avg_read_identity	T2T_median_read_identity	T2T_N50	T2T_readmass	base_sample_id	GRCh38_cram	GRCh38_crai	GRCh38_mean_cov	GRCh38_median_cov	GRCh38_xy_ratio	GRCh38_avg_read_identity	GRCh38_median_read_identity	GRCh38_N50	GRCh38_readmass
HG01866	P08	7	H	KHV	KHV	Kinh in Ho Chi Minh City, Vietnam [KHV]	Male		proband	PAK01719	63,4	26.728		X	HG01866	/groups/bi-marvl/samples/alignments/T2T/HG01866/alignments/HG01866.cram	/groups/bi-marvl/samples/alignments/T2T/HG01866/alignments/HG01866.cram.crai	19.75	20	1	93.5	96.4	26469	64106917284	HG01866	/groups/bi-marvl/samples/alignments/GRCh38/HG01866/alignments/HG01866.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01866/alignments/HG01866.cram.crai	19.93	20	1	92.6	96.2	26388	64395217710
HG01870	P08	8	A	KHV	KHV	Kinh in Ho Chi Minh City, Vietnam [KHV]	Female		proband	PAK14658	15,0	19.662		X	HG01870	/groups/bi-marvl/samples/alignments/T2T/HG01870/alignments/HG01870.cram	/groups/bi-marvl/samples/alignments/T2T/HG01870/alignments/HG01870.cram.crai	4.64	4	43	93.3	96.5	19348	15350041627	HG01870	/groups/bi-marvl/samples/alignments/GRCh38/HG01870/alignments/HG01870.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01870/alignments/HG01870.cram.crai	4.69	4	13	92.4	96.4	19298	15422370042
HG01871	P08	8	B	KHV	KHV	Kinh in Ho Chi Minh City, Vietnam [KHV]	Female		proband	PAK27146	30,5	17.056		X	HG01871	/groups/bi-marvl/samples/alignments/T2T/HG01871/alignments/HG01871.cram	/groups/bi-marvl/samples/alignments/T2T/HG01871/alignments/HG01871.cram.crai	9.45	9	43	93.7	96.9	16853	30884691411	HG01871	/groups/bi-marvl/samples/alignments/GRCh38/HG01871/alignments/HG01871.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01871/alignments/HG01871.cram.crai	9.54	9	14	93	96.7	16819	31003324339
HG01872	P08	8	C	KHV	KHV	Kinh in Ho Chi Minh City, Vietnam [KHV]	Male		proband	PAK26713	31,4	20.394		X	HG01872	/groups/bi-marvl/samples/alignments/T2T/HG01872/alignments/HG01872.cram	/groups/bi-marvl/samples/alignments/T2T/HG01872/alignments/HG01872.cram.crai	9.72	10	1	92.8	96.5	20038	32273214079	HG01872	/groups/bi-marvl/samples/alignments/GRCh38/HG01872/alignments/HG01872.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01872/alignments/HG01872.cram.crai	9.81	9	1	91.9	96.3	19970	32442343039
HG01873	P08	8	D	KHV	KHV	Kinh in Ho Chi Minh City, Vietnam [KHV]	Male		proband	PAK14209	46,1	20.675		X	HG01873	/groups/bi-marvl/samples/alignments/T2T/HG01873/alignments/HG01873.cram	/groups/bi-marvl/samples/alignments/T2T/HG01873/alignments/HG01873.cram.crai	14.35	14	1	92.9	96.5	20279	47696404009	HG01873	/groups/bi-marvl/samples/alignments/GRCh38/HG01873/alignments/HG01873.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01873/alignments/HG01873.cram.crai	14.49	14	0	91.9	96.2	20214	47931062206
HG01879	P02	11	E	ACB	ACB	African Caribbean in Barbados [ACB]	Male	BB01	father	PAK11537	87,6	6.839		X	HG01879	/groups/bi-marvl/samples/alignments/T2T/HG01879/alignments/HG01879.cram	/groups/bi-marvl/samples/alignments/T2T/HG01879/alignments/HG01879.cram.crai	27.06	27	1	92	95.8	6160	97754030720	HG01879	/groups/bi-marvl/samples/alignments/GRCh38/HG01879/alignments/HG01879.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01879/alignments/HG01879.cram.crai	27.27	27	1	91.7	95.7	6146	97916455192
HG01880	P02	11	F	ACB	ACB	African Caribbean in Barbados [ACB]	Female	BB01	mother	PAK11474	95,4	9.36		X	HG01880	/groups/bi-marvl/samples/alignments/T2T/HG01880/alignments/HG01880.cram	/groups/bi-marvl/samples/alignments/T2T/HG01880/alignments/HG01880.cram.crai	29.37	30	40	94.2	96.7	8910	99491977485	HG01880	/groups/bi-marvl/samples/alignments/GRCh38/HG01880/alignments/HG01880.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01880/alignments/HG01880.cram.crai	29.62	30	13	93.6	96.6	8869	99793814666
HG01883	P02	11	G	ACB	ACB	African Caribbean in Barbados [ACB]	Female	BB02	mother	PAK11453	76,4	13.391		X	HG01883	/groups/bi-marvl/samples/alignments/T2T/HG01883/alignments/HG01883.cram	/groups/bi-marvl/samples/alignments/T2T/HG01883/alignments/HG01883.cram.crai	23.67	24	47	94.3	96.6	13059	77860815630	HG01883	/groups/bi-marvl/samples/alignments/GRCh38/HG01883/alignments/HG01883.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01883/alignments/HG01883.cram.crai	23.88	24	13	93.7	96.5	13005	78085231409
HG01890	P02	11	H	ACB	ACB	African Caribbean in Barbados [ACB]	Male	BB05	father	PAK11542	96,1	10.691		X	HG01890	/groups/bi-marvl/samples/alignments/T2T/HG01890/alignments/HG01890.cram	/groups/bi-marvl/samples/alignments/T2T/HG01890/alignments/HG01890.cram.crai	29.43	30	1	94.2	96.7	10224	98832704390	HG01890	/groups/bi-marvl/samples/alignments/GRCh38/HG01890/alignments/HG01890.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01890/alignments/HG01890.cram.crai	29.67	30	1	93.6	96.6	10161	99239648104
HG01894	P02	12	A	ACB	ACB	African Caribbean in Barbados [ACB]	Female	BB06	mother	PAM61442	44,2	20.801		X	HG01894	/groups/bi-marvl/samples/alignments/T2T/HG01894/alignments/HG01894.cram	/groups/bi-marvl/samples/alignments/T2T/HG01894/alignments/HG01894.cram.crai	13.58	14	44	93	96.1	20563	44916524893	HG01894	/groups/bi-marvl/samples/alignments/GRCh38/HG01894/alignments/HG01894.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01894/alignments/HG01894.cram.crai	13.69	13	11	92.3	95.9	20492	45118239036
HG01896	P02	12	B	ACB	ACB	African Caribbean in Barbados [ACB]	Female	BB07	mother	PAM61531	41,8	18.022		X	HG01896	/groups/bi-marvl/samples/alignments/T2T/HG01896/alignments/HG01896.cram	/groups/bi-marvl/samples/alignments/T2T/HG01896/alignments/HG01896.cram.crai	12.71	13	42	92.8	95.8	17770	42435147394	HG01896	/groups/bi-marvl/samples/alignments/GRCh38/HG01896/alignments/HG01896.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01896/alignments/HG01896.cram.crai	12.83	12	11	92.1	95.7	17731	42556112946
HG01915	P01	5	B	ACB	ACB	African Caribbean in Barbados [ACB]	Female	BB09	mother	PAI76030	75,2	19.579		X	HG01915	/groups/bi-marvl/samples/alignments/T2T/HG01915/alignments/HG01915.cram	/groups/bi-marvl/samples/alignments/T2T/HG01915/alignments/HG01915.cram.crai	23.57	23	42	93.1	96.1	16053	89140730595	HG01915	/groups/bi-marvl/samples/alignments/GRCh38/HG01915/alignments/HG01915.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01915/alignments/HG01915.cram.crai	23.76	23	13	92.6	96	16016	89353560911
HG01917	P08	8	E	PEL	PEL	Peruvian in Lima Peru [PEL]	Male	PEL006	father	PAK26699	51,0	27.203		X	HG01917	/groups/bi-marvl/samples/alignments/T2T/HG01917/alignments/HG01917.cram	/groups/bi-marvl/samples/alignments/T2T/HG01917/alignments/HG01917.cram.crai	15.93	16	1	93.1	96.5	26873	52326942761	HG01917	/groups/bi-marvl/samples/alignments/GRCh38/HG01917/alignments/HG01917.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01917/alignments/HG01917.cram.crai	16.07	16	1	92.1	96.3	26804	52587237030
HG01918	P08	8	F	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL006	mother	PAK11536	83,6	28.832		X	HG01918	/groups/bi-marvl/samples/alignments/T2T/HG01918/alignments/HG01918.cram	/groups/bi-marvl/samples/alignments/T2T/HG01918/alignments/HG01918.cram.crai	26.11	26	44	93.4	96.7	28408	85700331166	HG01918	/groups/bi-marvl/samples/alignments/GRCh38/HG01918/alignments/HG01918.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01918/alignments/HG01918.cram.crai	26.34	26	12	92.4	96.5	28386	85992341309
HG01923	P08	8	G	PEL	PEL	Peruvian in Lima Peru [PEL]	Male	PEL010	father	PAK14649	37,0	21.007		X	HG01923	/groups/bi-marvl/samples/alignments/T2T/HG01923/alignments/HG01923.cram	/groups/bi-marvl/samples/alignments/T2T/HG01923/alignments/HG01923.cram.crai	11.51	11	2	93.1	96.3	20650	38070626164	HG01923	/groups/bi-marvl/samples/alignments/GRCh38/HG01923/alignments/HG01923.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01923/alignments/HG01923.cram.crai	11.62	11	1	92	96.1	20585	38265600174
HG01932	P01	5	C	PEL	PEL	Peruvian in Lima Peru [PEL]	Male	PEL013	father	PAI76134	98,0	12.304		X	HG01932	/groups/bi-marvl/samples/alignments/T2T/HG01932/alignments/HG01932.cram	/groups/bi-marvl/samples/alignments/T2T/HG01932/alignments/HG01932.cram.crai	30.34	31	1	93.7	96.5	11993	1.01E+11	HG01932	/groups/bi-marvl/samples/alignments/GRCh38/HG01932/alignments/HG01932.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01932/alignments/HG01932.cram.crai	30.62	31	1	93	96.3	11930	1.02E+11
HG01933	P08	8	H	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL013	mother	PAK14590	28,9	25.621		X	HG01933	/groups/bi-marvl/samples/alignments/T2T/HG01933/alignments/HG01933.cram	/groups/bi-marvl/samples/alignments/T2T/HG01933/alignments/HG01933.cram.crai	8.94	9	41	92.4	96.4	25056	29923900631	HG01933	/groups/bi-marvl/samples/alignments/GRCh38/HG01933/alignments/HG01933.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01933/alignments/HG01933.cram.crai	9.04	9	12	91.4	96.1	24967	30101777144
HG01935	P08	9	A	PEL	PEL	Peruvian in Lima Peru [PEL]	Male	PEL014	father	PAI98860	40,1	23.773		X	HG01935	/groups/bi-marvl/samples/alignments/T2T/HG01935/alignments/HG01935.cram	/groups/bi-marvl/samples/alignments/T2T/HG01935/alignments/HG01935.cram.crai	12.46	12	1	93.3	96.5	23407	41005407641	HG01935	/groups/bi-marvl/samples/alignments/GRCh38/HG01935/alignments/HG01935.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01935/alignments/HG01935.cram.crai	12.6	12	1	92.3	96.3	23324	41294143709
HG01939	P08	9	B	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL015	mother	PAI98588	53,9	21.11		X	HG01939	/groups/bi-marvl/samples/alignments/T2T/HG01939/alignments/HG01939.cram	/groups/bi-marvl/samples/alignments/T2T/HG01939/alignments/HG01939.cram.crai	16.79	17	45	93.6	96.4	20924	54300736192	HG01939	/groups/bi-marvl/samples/alignments/GRCh38/HG01939/alignments/HG01939.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01939/alignments/HG01939.cram.crai	16.93	17	12	92.8	96.2	20856	54571781295
HG01942	P01	5	D	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL016	mother	PAI73009	46,8	21.078		X	HG01942	/groups/bi-marvl/samples/alignments/T2T/HG01942/alignments/HG01942.cram	/groups/bi-marvl/samples/alignments/T2T/HG01942/alignments/HG01942.cram.crai	14.57	14	43	94.1	96.5	21120	47109161159	HG01942	/groups/bi-marvl/samples/alignments/GRCh38/HG01942/alignments/HG01942.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01942/alignments/HG01942.cram.crai	14.72	14	12	93.3	96.3	21139	47406706100
HG01945	P01	5	E	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL017	mother	PAI52453 PAI74485	105,8	24.371		X	HG01945	/groups/bi-marvl/samples/alignments/T2T/HG01945/alignments/HG01945.cram	/groups/bi-marvl/samples/alignments/T2T/HG01945/alignments/HG01945.cram.crai	32.69	33	44	91.3	94.4	24079	1.09E+11	HG01945	/groups/bi-marvl/samples/alignments/GRCh38/HG01945/alignments/HG01945.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01945/alignments/HG01945.cram.crai	33	33	14	90.7	94.2	24047	1.09E+11
HG01947	P08	9	C	PEL	PEL	Peruvian in Lima Peru [PEL]	Male	PEL018	father	PAI96676	60,9	20.957		X	HG01947	/groups/bi-marvl/samples/alignments/T2T/HG01947/alignments/HG01947.cram	/groups/bi-marvl/samples/alignments/T2T/HG01947/alignments/HG01947.cram.crai	19	19	1	93.3	96.1	20685	61783092582	HG01947	/groups/bi-marvl/samples/alignments/GRCh38/HG01947/alignments/HG01947.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01947/alignments/HG01947.cram.crai	19.2	19	1	92.3	95.9	20633	62013593697
HG01948	P08	9	D	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL018	mother	PAI96731	36,8	24.439		X	HG01948	/groups/bi-marvl/samples/alignments/T2T/HG01948/alignments/HG01948.cram	/groups/bi-marvl/samples/alignments/T2T/HG01948/alignments/HG01948.cram.crai	11.41	11	45	92.2	95.4	24150	37322397109	HG01948	/groups/bi-marvl/samples/alignments/GRCh38/HG01948/alignments/HG01948.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01948/alignments/HG01948.cram.crai	11.5	11	12	91.5	95.2	24090	37450910558
HG01950	P08	9	E	PEL	PEL	Peruvian in Lima Peru [PEL]	Male	PEL019	father	PAI99458	61,6	19.861		X	HG01950	/groups/bi-marvl/samples/alignments/T2T/HG01950/alignments/HG01950.cram	/groups/bi-marvl/samples/alignments/T2T/HG01950/alignments/HG01950.cram.crai	19.25	19	1	93.9	96.6	19684	62705537041	HG01950	/groups/bi-marvl/samples/alignments/GRCh38/HG01950/alignments/HG01950.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01950/alignments/HG01950.cram.crai	19.42	19	1	93	96.4	19601	63084456627
HG01951	P08	9	F	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL019	mother	PAK01687	50,7	16.735		X	HG01951	/groups/bi-marvl/samples/alignments/T2T/HG01951/alignments/HG01951.cram	/groups/bi-marvl/samples/alignments/T2T/HG01951/alignments/HG01951.cram.crai	15.79	16	46	93.7	96.2	16641	50567995581	HG01951	/groups/bi-marvl/samples/alignments/GRCh38/HG01951/alignments/HG01951.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01951/alignments/HG01951.cram.crai	15.95	16	12	92.9	96	16592	50766807824
HG01953	P08	9	G	PEL	PEL	Peruvian in Lima Peru [PEL]	Male	PEL020	father	PAK01797	68,5	19.463		X	HG01953	/groups/bi-marvl/samples/alignments/T2T/HG01953/alignments/HG01953.cram	/groups/bi-marvl/samples/alignments/T2T/HG01953/alignments/HG01953.cram.crai	21.36	21	1	93	95.9	19172	69826260320	HG01953	/groups/bi-marvl/samples/alignments/GRCh38/HG01953/alignments/HG01953.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01953/alignments/HG01953.cram.crai	21.58	21	1	92.2	95.7	19109	70159830175
HG01961	P08	9	H	PEL	PEL	Peruvian in Lima Peru [PEL]	Male		proband	PAK01888	33,0	17.208		X	HG01961	/groups/bi-marvl/samples/alignments/T2T/HG01961/alignments/HG01961.cram	/groups/bi-marvl/samples/alignments/T2T/HG01961/alignments/HG01961.cram.crai	10.22	10	2	92.2	95.1	16952	33488093425	HG01961	/groups/bi-marvl/samples/alignments/GRCh38/HG01961/alignments/HG01961.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01961/alignments/HG01961.cram.crai	10.3	10	1	91.6	94.9	16907	33594782712
HG01965	P08	10	A	PEL	PEL	Peruvian in Lima Peru [PEL]	Female		proband	PAK01919	14,0	23.25		X	HG01965	/groups/bi-marvl/samples/alignments/T2T/HG01965/alignments/HG01965.cram	/groups/bi-marvl/samples/alignments/T2T/HG01965/alignments/HG01965.cram.crai	4.28	4	45	93.8	96.4	23081	13948445189	HG01965	/groups/bi-marvl/samples/alignments/GRCh38/HG01965/alignments/HG01965.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01965/alignments/HG01965.cram.crai	4.32	4	12	93	96.2	22991	14013132234
HG01967	P08	10	B	PEL	PEL	Peruvian in Lima Peru [PEL]	Male	PEL023	father	PAI99485	56,2	21.157		X	HG01967	/groups/bi-marvl/samples/alignments/T2T/HG01967/alignments/HG01967.cram	/groups/bi-marvl/samples/alignments/T2T/HG01967/alignments/HG01967.cram.crai	17.45	17	2	93.3	96.3	20995	56905834329	HG01967	/groups/bi-marvl/samples/alignments/GRCh38/HG01967/alignments/HG01967.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01967/alignments/HG01967.cram.crai	17.61	17	1	92.6	96.1	20936	57163970698
HG01971	P08	10	C	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL024	mother	PAK02130	47,4	26.327		X	HG01971	/groups/bi-marvl/samples/alignments/T2T/HG01971/alignments/HG01971.cram	/groups/bi-marvl/samples/alignments/T2T/HG01971/alignments/HG01971.cram.crai	14.78	15	42	93.1	96	25967	47947615115	HG01971	/groups/bi-marvl/samples/alignments/GRCh38/HG01971/alignments/HG01971.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01971/alignments/HG01971.cram.crai	14.93	15	11	92.3	95.8	25900	48165622622
HG01977	P08	10	D	PEL	PEL	Peruvian in Lima Peru [PEL]	Male	PEL026	father	PAK01257	27,8	28.337		X	HG01977	/groups/bi-marvl/samples/alignments/T2T/HG01977/alignments/HG01977.cram	/groups/bi-marvl/samples/alignments/T2T/HG01977/alignments/HG01977.cram.crai	8.6	8	1	92.8	96	27966	28234041904	HG01977	/groups/bi-marvl/samples/alignments/GRCh38/HG01977/alignments/HG01977.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01977/alignments/HG01977.cram.crai	8.68	8	1	92	95.8	27883	28366257213
HG01982	P08	10	E	PEL	PEL	Peruvian in Lima Peru [PEL]	Male	PEL028	father	PAK01421	56,3	24.877		X	HG01982	/groups/bi-marvl/samples/alignments/T2T/HG01982/alignments/HG01982.cram	/groups/bi-marvl/samples/alignments/T2T/HG01982/alignments/HG01982.cram.crai	17.46	18	1	93.6	96.5	24676	57326846016	HG01982	/groups/bi-marvl/samples/alignments/GRCh38/HG01982/alignments/HG01982.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01982/alignments/HG01982.cram.crai	17.63	17	1	92.9	96.3	24614	57587712665
HG01983	P08	10	F	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL028	mother	PAK01423	54,9	15.735		X	HG01983	/groups/bi-marvl/samples/alignments/T2T/HG01983/alignments/HG01983.cram	/groups/bi-marvl/samples/alignments/T2T/HG01983/alignments/HG01983.cram.crai	16.83	17	43	93.5	96.4	15431	55306290098	HG01983	/groups/bi-marvl/samples/alignments/GRCh38/HG01983/alignments/HG01983.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01983/alignments/HG01983.cram.crai	16.98	17	12	93	96.2	15382	55529199935
HG01985	initial 8			ACB	ACB	African Caribbean in Barbados [ACB]	Female		proband	PAH77435 PAH94028	178,5	13.391	180013	X	HG01985	/groups/bi-marvl/samples/alignments/T2T/HG01985/alignments/HG01985.cram	/groups/bi-marvl/samples/alignments/T2T/HG01985/alignments/HG01985.cram.crai	55.27	56	40	91.8	94.9	13001	1.84E+11	HG01985	/groups/bi-marvl/samples/alignments/GRCh38/HG01985/alignments/HG01985.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01985/alignments/HG01985.cram.crai	55.77	56	13	91.2	94.7	12952	1.85E+11
HG01988	P01	5	F	ACB	ACB	African Caribbean in Barbados [ACB]	Male	BB11	father	PAI52485	68,7	21.807		X	HG01988	/groups/bi-marvl/samples/alignments/T2T/HG01988/alignments/HG01988.cram	/groups/bi-marvl/samples/alignments/T2T/HG01988/alignments/HG01988.cram.crai	21.48	21	1	93.2	95.5	20365	73556119051	HG01988	/groups/bi-marvl/samples/alignments/GRCh38/HG01988/alignments/HG01988.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01988/alignments/HG01988.cram.crai	21.72	21	1	92.4	95.3	20232	74061469756
HG01990	P02	12	C	ACB	ACB	African Caribbean in Barbados [ACB]	Male	BB12	father	PAM61521	69,9	21.935		X	HG01990	/groups/bi-marvl/samples/alignments/T2T/HG01990/alignments/HG01990.cram	/groups/bi-marvl/samples/alignments/T2T/HG01990/alignments/HG01990.cram.crai	21.67	22	1	92.9	95.9	21585	71040386807	HG01990	/groups/bi-marvl/samples/alignments/GRCh38/HG01990/alignments/HG01990.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01990/alignments/HG01990.cram.crai	21.87	21	0	91.8	95.7	21533	71318277465
HG01991	P08	10	G	PEL	PEL	Peruvian in Lima Peru [PEL]	Male	PEL029	father	PAI99329	55,7	19.79		X	HG01991	/groups/bi-marvl/samples/alignments/T2T/HG01991/alignments/HG01991.cram	/groups/bi-marvl/samples/alignments/T2T/HG01991/alignments/HG01991.cram.crai	17.32	17	1	93.8	96.4	19451	56540738402	HG01991	/groups/bi-marvl/samples/alignments/GRCh38/HG01991/alignments/HG01991.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01991/alignments/HG01991.cram.crai	17.49	17	1	92.8	96.2	19344	56927247209
HG01992	P01	5	G	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL029	mother	PAI52393	77,1	17.237		X	HG01992	/groups/bi-marvl/samples/alignments/T2T/HG01992/alignments/HG01992.cram	/groups/bi-marvl/samples/alignments/T2T/HG01992/alignments/HG01992.cram.crai	24.19	24	45	93.5	96.1	15547	84638038477	HG01992	/groups/bi-marvl/samples/alignments/GRCh38/HG01992/alignments/HG01992.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01992/alignments/HG01992.cram.crai	24.46	24	13	92.9	95.9	15490	85096250440
HG01997	P08	10	H	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL031	mother	PAI98775	33,6	21.389		X	HG01997	/groups/bi-marvl/samples/alignments/T2T/HG01997/alignments/HG01997.cram	/groups/bi-marvl/samples/alignments/T2T/HG01997/alignments/HG01997.cram.crai	10.08	10	40	90.9	93.7	21007	33442151225	HG01997	/groups/bi-marvl/samples/alignments/GRCh38/HG01997/alignments/HG01997.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG01997/alignments/HG01997.cram.crai	10.17	10	11	90.1	93.4	20976	33520383360
HG02003	P08	11	A	PEL	PEL	Peruvian in Lima Peru [PEL]	Female	PEL033	mother	PAM55041	51,4	9.351		X	HG02003	/groups/bi-marvl/samples/alignments/T2T/HG02003/alignments/HG02003.cram	/groups/bi-marvl/samples/alignments/T2T/HG02003/alignments/HG02003.cram.crai	15.89	16	45	93.2	95.6	9042	52860186943	HG02003	/groups/bi-marvl/samples/alignments/GRCh38/HG02003/alignments/HG02003.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG02003/alignments/HG02003.cram.crai	16.03	16	12	92.8	95.5	9006	53018706408
HG02006	P08	11	B	PEL	PEL	Peruvian in Lima Peru [PEL]	Female		proband	PAM57094	63,7	13.644		X	HG02006	/groups/bi-marvl/samples/alignments/T2T/HG02006/alignments/HG02006.cram	/groups/bi-marvl/samples/alignments/T2T/HG02006/alignments/HG02006.cram.crai	19.57	20	43	91.2	94	13539	64001694290	HG02006	/groups/bi-marvl/samples/alignments/GRCh38/HG02006/alignments/HG02006.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG02006/alignments/HG02006.cram.crai	19.75	20	13	90.6	93.8	13488	64193572751
HG02009	P01	5	H	ACB	ACB	African Caribbean in Barbados [ACB]	Male	BB13	father	PAI52201 PAI74471	111,3	22.743		X	HG02009	/groups/bi-marvl/samples/alignments/T2T/HG02009/alignments/HG02009.cram	/groups/bi-marvl/samples/alignments/T2T/HG02009/alignments/HG02009.cram.crai	34.57	35	1	91.3	94.2	22312	1.14E+11	HG02009	/groups/bi-marvl/samples/alignments/GRCh38/HG02009/alignments/HG02009.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG02009/alignments/HG02009.cram.crai	34.9	35	1	90.6	93.9	22268	1.14E+11
HG02010	P02	12	D	ACB	ACB	African Caribbean in Barbados [ACB]	Female	BB13	mother	PAM61453	63,5	22.953		X	HG02010	/groups/bi-marvl/samples/alignments/T2T/HG02010/alignments/HG02010.cram	/groups/bi-marvl/samples/alignments/T2T/HG02010/alignments/HG02010.cram.crai	19.64	20	43	92.9	95.9	22620	64314214530	HG02010	/groups/bi-marvl/samples/alignments/GRCh38/HG02010/alignments/HG02010.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG02010/alignments/HG02010.cram.crai	19.82	19	12	91.9	95.7	22580	64569598591
HG02012	P02	12	E	ACB	ACB	African Caribbean in Barbados [ACB]	Female	BB12	mother	PAM61464	29,8	19.131		X	HG02012	/groups/bi-marvl/samples/alignments/T2T/HG02012/alignments/HG02012.cram	/groups/bi-marvl/samples/alignments/T2T/HG02012/alignments/HG02012.cram.crai	9.24	9	42	93	95.9	18834	30594479522	HG02012	/groups/bi-marvl/samples/alignments/GRCh38/HG02012/alignments/HG02012.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG02012/alignments/HG02012.cram.crai	9.32	9	11	92.3	95.8	18786	30700928927
HG02013	P01	6	A	ACB	ACB	African Caribbean in Barbados [ACB]	Male	BB07	father	PAI07484 PAI55674 PAI73215 PAI73276 PAK06919	438,7	14.408		X	HG02013	/groups/bi-marvl/samples/alignments/T2T/HG02013/alignments/HG02013.cram	/groups/bi-marvl/samples/alignments/T2T/HG02013/alignments/HG02013.cram.crai	135.61	139	1	92.6	95.4	14328	4.43E+11	HG02013	/groups/bi-marvl/samples/alignments/GRCh38/HG02013/alignments/HG02013.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG02013/alignments/HG02013.cram.crai	136.93	139	0	92	95.2	14294	4.44E+11
HG02014	P02	12	F	ACB	ACB	African Caribbean in Barbados [ACB]	Male	BB04	father	PAM58742 PAM67841	55,5	17.548		X	HG02014	/groups/bi-marvl/samples/alignments/T2T/HG02014/alignments/HG02014.cram	/groups/bi-marvl/samples/alignments/T2T/HG02014/alignments/HG02014.cram.crai	17.07	17	1	92.6	95.9	17017	57007563436	HG02014	/groups/bi-marvl/samples/alignments/GRCh38/HG02014/alignments/HG02014.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG02014/alignments/HG02014.cram.crai	17.26	17	1	91.9	95.7	16934	57385305805
HG02016	P08	11	C	KHV	KHV	Kinh in Ho Chi Minh City, Vietnam [KHV]	Female	VN46	mother	PAM54191 PAM57351	45,3	20.812		X	HG02016	/groups/bi-marvl/samples/alignments/T2T/HG02016/alignments/HG02016.cram	/groups/bi-marvl/samples/alignments/T2T/HG02016/alignments/HG02016.cram.crai	13.89	14	44	93.7	96.4	20084	46523522417	HG02016	/groups/bi-marvl/samples/alignments/GRCh38/HG02016/alignments/HG02016.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG02016/alignments/HG02016.cram.crai	14.06	14	12	93.1	96.2	19974	46863084332
